tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,cust_1001,True,2024-05-01 09:00:00,"My iPhone order #112233 hasn't arrived yet in Mumbai, it's been 6 days!",2,
2,AmazonHelp,False,2024-05-01 09:12:00,"We're sorry to hear that. Can you confirm your order ID so we can check?",3,1
3,cust_1001,True,2024-05-01 09:20:00,"Yes it's 112233",4,2
4,AmazonHelp,False,2024-05-01 09:35:00,"Thanks! Your package was delayed due to a courier issue, it will arrive by tomorrow.",5,3
5,cust_1001,True,2024-05-01 09:40:00,"Ok thank you, please keep me updated",,4
6,cust_1002,True,2024-05-01 11:00:00,"I can't log into my Apple ID, OTP is not coming to my phone",7,
7,AppleSupport,False,2024-05-01 12:05:00,"Sorry for the trouble! Can you confirm the phone number linked to your Apple ID?",8,6
8,cust_1002,True,2024-05-01 12:20:00,"It's linked to my old number, I don't have access anymore",9,7
9,AppleSupport,False,2024-05-01 13:10:00,"No worries, please visit iforgot.apple.com to reset your account recovery options.",10,8
10,cust_1002,True,2024-05-01 13:25:00,"That worked, thanks so much!",,9
11,cust_1003,True,2024-05-01 14:00:00,"My Uber payment of $45 failed but the amount got deducted from my card!",12,
12,Uber_Support,False,2024-05-01 14:05:00,"That's frustrating, we apologize. Can you share your trip ID?",13,11
13,cust_1003,True,2024-05-01 14:08:00,"Trip ID is UB-88291",14,12
14,Uber_Support,False,2024-05-01 14:14:00,"We've confirmed the duplicate charge and processed a refund of $45, it should reflect in 3-5 business days.",15,13
15,cust_1003,True,2024-05-01 14:16:00,"Great, thank you for the quick refund!",,14
16,cust_1004,True,2024-05-02 08:00:00,"I want to cancel my order #559911 for the Samsung TV, placed yesterday.",17,
17,AmazonHelp,False,2024-05-02 09:30:00,"We can help with that. Please note the order has already shipped from our Bangalore warehouse.",18,16
18,cust_1004,True,2024-05-02 09:45:00,"That's really annoying, I needed this cancelled before shipping!",19,17
19,AmazonHelp,False,2024-05-02 10:50:00,"I understand your frustration. You can refuse the delivery and we'll process a full refund once it's returned.",20,18
20,cust_1004,True,2024-05-02 10:55:00,"Fine, I'll do that.",,19
21,cust_1005,True,2024-05-02 16:00:00,"My MacBook Pro keeps crashing after the latest macOS update.",22,
22,AppleSupport,False,2024-05-02 17:00:00,"Sorry to hear that! Have you tried restarting in Safe Mode?",23,21
23,cust_1005,True,2024-05-02 17:20:00,"Yes, still crashing constantly, this is so frustrating.",24,22
24,AppleSupport,False,2024-05-03 09:00:00,"Please DM us your device serial number so we can escalate this to our engineering team.",25,23
25,cust_1005,True,2024-05-03 09:10:00,"Sent, hope this gets fixed soon.",,24
26,cust_1006,True,2024-05-03 10:00:00,"Can't access my Uber Eats account, says account suspended for no reason.",27,
27,Uber_Support,False,2024-05-03 10:03:00,"Sorry about that! We've reviewed your account and lifted the suspension, please try logging in again.",28,26
28,cust_1006,True,2024-05-03 10:06:00,"It's working now, thank you so much for the fast help!",,27
